player,year,overall_pick,games,points,total_rebounds,assists,successScore
Dragana Stankovic,2015,30,0.0,0.0,0.0,0.0,0.0
Andrea Hoover,2015,31,12.0,3.8,1.3,0.3,0.1596186252951489
Marica Gajic,2015,32,0.0,0.0,0.0,0.0,0.0
Nikki Moody,2015,33,0.0,0.0,0.0,0.0,0.0
Lauren Okafor,2015,34,0.0,0.0,0.0,0.0,0.0
Shae Kelley,2015,35,8.0,0.1,0.4,0.1,0.028770263726894098
Promise Amukamara,2015,36,0.0,0.0,0.0,0.0,0.0
Chiney Ogwumike,2014,1,160.0,11.8,6.7,0.9,0.4731881539621351
Odyssey Sims,2014,2,240.0,12.1,2.6,3.8,0.5338719437979812
Kayla McBride,2014,3,258.0,14.4,3.4,2.3,0.5411037194186212
Alyssa Thomas,2014,4,240.0,11.9,6.9,3.5,0.6151766444067802
Natasha Howard,2014,5,270.0,10.2,5.1,1.2,0.45392605435478195
Stefanie Dolson,2014,6,271.0,9.2,4.8,1.8,0.4720399940486254
Bria Hartley,2014,7,207.0,7.9,2.2,2.6,0.38990054247603123
Shoni Schimmel,2014,8,85.0,6.6,1.9,2.8,0.3159416793557422
Natalie Achonwa,2014,9,211.0,7.1,4.2,1.1,0.3649270074719742
Markeisha Gatling,2014,10,81.0,3.8,2.6,0.2,0.18789186504735686
Chelsea Gray,2014,11,258.0,11.9,3.0,4.7,0.5677807008179945
Tricia Liston,2014,12,0.0,0.0,0.0,0.0,0.0
Jordan Hooper,2014,13,128.0,4.5,1.8,0.3,0.2161428897758592
Tyaunna Marshall,2014,14,0.0,0.0,0.0,0.0,0.0
Asya Bussie,2014,15,0.0,0.0,0.0,0.0,0.0
Astou Ndour,2014,16,114.0,5.4,3.3,0.4,0.2526721088189551
Tiffany Bias,2014,17,54.0,1.8,0.3,0.6,0.09581744840528786
Inga Orekhova,2014,18,6.0,0.0,0.3,0.0,0.031246169540060882
Michelle Plouffe,2014,19,0.0,0.0,0.0,0.0,0.0
Cassie Harberts,2014,20,0.0,0.0,0.0,0.0,0.0
Maggie Lucas,2014,21,72.0,4.4,0.9,0.7,0.17749744205813825
Gennifer Brandon,2014,22,16.0,1.8,2.6,0.2,0.12617709665962812
Jennifer Hamson,2014,23,37.0,1.8,1.7,0.2,0.1098638091464712
Christina Foggie,2014,24,0.0,0.0,0.0,0.0,0.0
DeNesha Stallworth,2014,25,0.0,0.0,0.0,0.0,0.0
Meighan Simmons,2014,26,36.0,2.7,0.4,0.3,0.08681650315443135
Theresa Plaisance,2014,27,218.0,4.5,3.0,0.7,0.2780246918132524
Bri Kulas,2014,28,0.0,0.0,0.0,0.0,0.0
Haiden Palmer,2014,29,0.0,0.0,0.0,0.0,0.0
Carley Mijovic,2014,30,0.0,0.0,0.0,0.0,0.0
Mikaela Ruef,2014,31,0.0,0.0,0.0,0.0,0.0
Kody Burke,2014,32,0.0,0.0,0.0,0.0,0.0
Stephanie Talbot,2014,33,162.0,4.8,2.6,1.4,0.29489177857911975
Jamierra Faulkner,2014,34,131.0,6.2,1.4,3.1,0.3209860003192011
